Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
VULC3;10,33;68,12;2,22;2,027;0,00%;1,489;3,29;39,76;4,67;42,06;20,06;5,10%;2,97%;3,31;4,34%;3,26%;7.476.350,00;1.143.320.000,00;0,26;1,54%
TOTS3;37,89;69,71;8,1;8,065;0,69%;4,029;24,52;19,6;61,14;18,86;15,69;41,15%;11,57%;1,41;26,82%;11,62%;140.005.000,00;2.702.690.000,00;0,13;4,78%
ALSO3;28,47;70,69;1,15;9,887;0,80%;0,697;5,43;25,09;-5,43;27,02;16,72;39,40%;17,85%;4,32;3,20%;1,62%;49.943.000,00;6.589.880.000,00;0,3;28,34%
HAPV3;15,28;76,48;7,37;6,685;0,36%;4,264;42,44;49,12;-27,71;48,7;29,02;13,61%;8,78%;1,6;10,82%;9,64%;154.186.000,00;7.979.400.000,00;0,26;36,21%
RADL3;24,8;76,52;9,26;1,976;0,47%;2,895;15,94;40,8;-17,59;41,69;19,23;4,84%;2,64%;1,54;9,83%;12,11%;154.146.000,00;4.422.740.000,00;0,37;15,49%
AMBP3;45,78;77,38;4,17;6,295;0,21%;2,656;10,09;35,86;28,42;34,52;22,18;17,55%;8,63%;2,58;10,22%;5,39%;23.045.000,00;1.239.960.000,00;0,25;0,00%
MATD3;16,4;80,16;22,3;8,112;0,00%;4,918;45,67;33,67;-15,84;33,51;27,41;24,09%;10,12%;1,3;20,22%;27,83%;8.837.470,00;261.061.000,00;0,93;0,00%
GNDI3;84,86;95,31;7,37;4,739;0,33%;3,147;28,79;43,09;-10,83;43,38;33,36;11,00%;4,97%;1,63;9,05%;7,73%;275.971.000,00;7.082.230.000,00;0,48;29,23%
LPSB3;4,5;101,92;3,68;3,551;0,00%;1,685;6,24;13,95;-14,11;11,07;7,84;25,46%;13,85%;2,6;19,09%;3,61%;5.207.830,00;180.464.000,00;0;10,40%
NGRD3;6,97;105,41;3,6;7,551;0,18%;2,414;5,09;44,98;8,75;38,54;26,73;16,79%;7,16%;4,63;11,37%;3,41%;16.629.700,00;462.372.000,00;0,24;0,00%
ALPA3;44,49;106,6;8,51;7,436;0,00%;5,398;17,72;40,61;26,04;39,55;31,73;18,31%;6,53%;2,19;18,34%;7,98%;202.985,00;3.074.270.000,00;0,08;-2,58%
ALPA4;52;124,6;9,95;8,691;0,00%;6,309;20,71;47,47;30,44;46,4;37,23;18,31%;6,53%;2,19;18,34%;7,98%;91.368.400,00;3.074.270.000,00;0,08;-2,58%
BOAS3;11,45;135;3,33;9,588;0,18%;2,496;4,84;54,51;7,24;44,19;17,93;17,59%;7,10%;7,46;10,24%;2,47%;10.114.200,00;1.815.350.000,00;0,08;-6,17%
LAME3;20,41;137,32;3,1;1,713;1,04%;0,873;2,34;25,03;-88,36;26,27;12,63;6,84%;0,81%;2,45;7,81%;2,26%;65.992.300,00;12.394.200.000,00;1,54;5,96%
